sample_id,id,lemma
1,1,tattle
1,2,right
1,3,intercorrelate
1,4,forleet
1,5,dod
1,6,wind-break
1,7,A-bomb
1,8,reinjure
1,9,diamondize
1,10,jigger
1,11,needle
1,12,poleax
1,13,newfangle
1,14,misprocess
1,15,restopper
1,16,crap
1,17,misfit
1,18,interchange
1,19,exeunt
1,20,angel
1,21,uncurb
1,22,routinize
1,23,believe
1,24,absorb
1,25,forefeel
1,26,sphinx
1,27,ideate
1,28,bishop
1,29,rare
1,30,toe-poke
1,31,misname
1,32,beteach
1,33,withgo
1,34,miscreate
1,35,imply
1,36,hoast
1,37,present
1,38,reesterify
1,39,backscatter
1,40,mousetrap
1,41,akill
1,42,restring
1,43,sweeten
1,44,forelend
1,45,abdicate
1,46,dismay
1,47,dizen
1,48,perfricate
1,49,forthcome
1,50,thyroidectomize
1,51,impede
1,52,rescribe
1,53,rhotacise
1,54,wist
1,55,caress
1,56,deprecate
1,57,oversing
1,58,scroll
1,59,smof
1,60,geck
1,61,chamfer
1,62,dwarf
1,63,codisplay
1,64,crowbar
1,65,emblazon
1,66,incumber
1,67,fiance
1,68,offsmite
1,69,reconsider
1,70,constrain
1,71,skinnydip
1,72,hotdesk
1,73,multitask
1,74,rerandomize
1,75,rename
1,76,statisticize
1,77,punch
1,78,imprecate
1,79,shanty
1,80,encheer
1,81,pink
1,82,obsignate
1,83,querken
1,84,revarnish
1,85,forcling
1,86,daylight
1,87,protonate
1,88,potchky
1,89,upboil
1,90,troble
1,91,chuffle
1,92,straight-arm
1,93,impart
1,94,beguilty
1,95,itinerate
1,96,bedarken
1,97,yeast
1,98,unshale
1,99,norm
1,100,outblush
1,101,unmew
1,102,top-rope
1,103,mudpuddle
1,104,preposterate
1,105,lurve
1,106,tharf
1,107,misapply
1,108,goosestep
1,109,disinure
1,110,gladder
1,111,equipartition
1,112,insolate
1,113,fractionise
1,114,betallow
1,115,overlive
1,116,conversation
1,117,griddle
1,118,kart
1,119,devan
1,120,meditate
